Day;Sleep;Writing;Studying;Sport;Music;Hygiene;Languages;Reading;Socializing;Mood
23/1/2023;8,5;0,0;2,0;0,0;1,3;0,8;0,0;0,0;1,5;8
24/1/2023;8,0;0,0;1,5;1,2;0,0;0,8;0,0;0,0;0,0;6,5
25/1/2023;7,0;0,0;0,8;0,3;0,0;0,8;0,5;0,0;5,0;7
26/1/2023;5,3;0,0;2,5;0,0;0,0;1,0;0,0;0,0;6,0;7
27/1/2023;8,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;16,0;8,5
28/1/2023;8,5;0,0;0,0;0,0;1,5;1,0;1,3;0,0;13,0;9
29/1/2023;5,5;0,0;3,0;0,0;0,0;1,0;0,0;0,0;15,0;8
30/1/2023;11,0;0,0;0,0;1,0;1,5;0,8;0,8;0,0;3,5;8
31/1/2023;7,5;0,0;2,5;0,0;1,8;0,8;0,0;0,0;1,8;8,5
1/2/2023;8,0;0,0;3,0;1,5;1,3;0,5;0,0;0,0;0,0;8,5
2/2/2023;7,5;0,0;0,0;1,3;3,5;1,0;0,3;0,0;3,5;9,5
3/2/2023;8,0;0,0;1,2;1,4;3,0;1,0;0,5;0,0;0,0;9
4/2/2023;7,8;0,0;2,3;1,0;0,8;1,0;0,5;0,0;0,0;8
5/2/2023;7,5;0,0;7,0;0,0;0,5;0,8;0,5;0,0;0,0;7
6/2/2023;7,5;0,0;2,5;1,8;0,5;1,0;0,0;0,0;3,0;8,5
7/2/2023;7,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,6;8
8/2/2023;7,0;0,0;0,0;0,0;0,5;0,8;0,0;0,0;18,0;8
9/2/2023;5,5;0,0;0,0;3,5;0,0;0,8;0,0;0,0;18,0;8
10/2/2023;8,0;0,0;2,0;0,0;0,0;0,8;0,0;0,0;10,0;9
11/2/2023;6,5;0,0;10,0;0,0;0,0;0,8;0,0;0,0;15,0;8
12/2/2023;7,8;0,0;4,0;0,0;0,0;1,0;0,0;0,0;5,0;8,5
13/2/2023;7,0;0,0;3,0;1,2;0,0;1,0;0,0;0,0;3,0;8
14/2/2023;7,5;0,0;4,0;1,2;1,5;1,0;1,0;0,0;4,0;9
15/2/2023;8,3;0,0;4,0;1,0;0,0;1,0;0,5;0,0;3,0;8
16/2/2023;8,0;0,0;4,0;1,3;2,0;1,0;0,5;0,0;3,0;9
17/2/2023;7,0;0,0;4,0;1,1;2,5;1,0;0,0;0,0;11,0;9
18/2/2023;8,0;0,0;0,0;1,0;0,5;1,0;0,0;0,0;10,0;8,5
19/2/2023;8,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;12,0;9
20/2/2023;8,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;10,0;8,5
21/2/2023;8,0;0,0;5,5;1,3;0,0;1,0;0,0;0,0;4,0;8
22/2/2023;8,0;0,0;7,0;1,0;0,0;1,0;1,0;0,0;4,0;7
23/2/2023;7,5;0,0;5,0;0,0;0,0;0,5;0,0;0,8;12,0;9,5
24/2/2023;3,0;0,0;2,0;0,0;0,5;1,0;0,0;0,3;8,0;9,5
25/2/2023;10,0;0,0;8,0;1,0;1,0;0,8;0,0;0,0;0,0;8
26/2/2023;6,5;0,0;1,5;0,0;2,5;0,8;0,0;0,3;5,5;9
27/2/2023;6,5;0,3;3,0;0,0;0,5;1,0;0,3;0,0;7,0;8
28/2/2023;7,5;0,0;6,5;0,0;0,5;1,0;0,0;0,5;5,0;8
1/3/2023;8,0;0,0;4,5;1,9;2,5;1,0;0,8;1,3;4,5;9
2/3/2023;7,5;0,0;1,5;0,0;1,3;1,0;0,3;0,0;4,0;9
3/3/2023;7,5;0,0;3,5;0,0;0,5;1,0;0,0;1,5;5,0;8,5
4/3/2023;7,0;1,5;0,0;1,0;0,0;1,0;0,0;0,0;6,5;9
5/3/2023;8,0;0,0;6,0;0,0;0,0;1,0;0,0;0,0;0,0;8
6/3/2023;8,0;0,0;5,5;1,0;0,0;1,0;0,0;0,5;3,5;8,5
7/3/2023;7,3;0,0;3,0;1,0;0,0;1,0;0,0;0,0;10,0;9,5
8/3/2023;5,0;0,0;0,5;0,0;0,0;1,0;0,0;0,0;4,0;9
9/3/2023;5,0;0,0;0,0;0,0;0,0;1,0;0,0;3,3;0,0;7
10/3/2023;8,0;1,0;0,0;0,5;0,0;1,0;0,5;2,2;0,0;6
11/3/2023;9,0;0,0;0,0;0,0;0,0;1,0;0,0;0,8;0,0;7,5
12/3/2023;5,5;1,5;0,0;1,0;0,0;1,0;0,0;1,9;0,0;8
13/3/2023;9,0;1,0;2,3;1,0;0,9;1,0;0,0;1,0;2,0;8,5
